bird_y,bird_vertical_movement,pipe_y,pipe_dist,space_pressed
512,0.0,512,-25.0,0
513,0.8,512,-25.0,0
514,1.6,512,-25.0,0
517,2.45,512,-25.0,0
520,3.3000000000000003,512,-25.0,0
524,4.15,512,-25.0,0
529,4.95,512,-25.0,0
535,5.75,512,-25.0,0
542,6.6,512,-25.0,0
549,7.449999999999999,512,-25.0,0
557,8.299999999999999,512,-25.0,0
567,9.15,512,-25.0,0
577,9.999999999999998,512,-25.0,0
587,10.849999999999998,512,-25.0,0
599,11.65,512,-25.0,0
612,12.499999999999998,512,-25.0,0
625,13.3,512,-25.0,0
639,14.15,512,-25.0,0
654,14.999999999999998,512,-25.0,0
670,15.849999999999998,512,-25.0,0
687,16.7,512,-25.0,0
704,17.5,512,-25.0,0
722,18.35,512,-25.0,0
742,19.200000000000003,512,-25.0,1
727,-14.2,512,-25.0,0
714,-13.35,512,-25.0,0
701,-12.55,512,-25.0,0
690,-11.7,512,-25.0,0
679,-10.85,512,-25.0,0
669,-10.0,512,-25.0,0
660,-9.15,512,-25.0,0
651,-8.35,512,-25.0,0
644,-7.55,512,-25.0,0
637,-6.75,512,-25.0,0
631,-5.9,512,-25.0,0
626,-5.1000000000000005,512,-25.0,0
622,-4.25,512,-25.0,0
618,-3.4,512,-25.0,0
616,-2.55,512,-25.0,0
614,-1.7499999999999998,512,-25.0,0
613,-0.9499999999999996,512,-25.0,0
613,-0.0999999999999996,512,-25.0,0
614,0.7500000000000004,512,-25.0,0
615,1.6000000000000003,512,-25.0,0
618,2.4500000000000006,512,-25.0,0
621,3.250000000000001,512,-25.0,0
625,4.050000000000001,512,-25.0,0
630,4.8500000000000005,512,-25.0,0
636,5.700000000000001,512,-25.0,0
642,6.500000000000001,512,-25.0,0
650,7.350000000000001,512,-25.0,0
658,8.200000000000001,512,-25.0,0
667,9.05,512,-25.0,0
677,9.9,512,-25.0,0
688,10.75,512,-25.0,0
699,11.6,512,-25.0,0
712,12.45,512,-25.0,1
697,-14.15,512,-25.0,0
684,-13.35,512,-25.0,0
672,-12.55,512,-25.0,0
660,-11.749999999999998,512,-25.0,0
649,-10.9,512,-25.0,0
639,-10.05,512,-25.0,0
630,-9.2,512,-25.0,0
621,-8.399999999999999,512,924.0,0
614,-7.549999999999999,512,915.5,0
607,-6.699999999999999,512,907.0,0
601,-5.85,512,898.5,0
596,-5.0,512,890.0,0
592,-4.2,512,882.0,0
589,-3.4000000000000004,512,874.0,0
586,-2.6000000000000005,512,866.0,0
584,-1.8000000000000005,512,858.0,0
583,-0.9500000000000004,512,849.5,0
583,-0.1500000000000003,512,841.5,0
584,0.6499999999999997,512,833.5,0
585,1.4499999999999995,512,825.5,0
587,2.25,512,817.5,0
590,3.05,512,809.5,0
594,3.85,512,801.5,0
599,4.699999999999999,512,793.0,0
604,5.499999999999999,512,785.0,0
611,6.299999999999999,512,777.0,0
618,7.149999999999999,512,768.5,1
604,-14.2,512,760.5,0
590,-13.4,512,752.5,0
578,-12.55,512,744.0,0
566,-11.749999999999998,512,736.0,0
555,-10.949999999999998,512,728.0,0
545,-10.149999999999997,512,720.0,0
536,-9.349999999999996,512,712.0,0
527,-8.549999999999995,512,704.0,0
519,-7.699999999999996,512,695.5,0
512,-6.899999999999996,512,687.5,0
506,-6.049999999999995,512,679.0,0
501,-5.199999999999996,512,670.5,0
497,-4.399999999999996,512,662.5,0
493,-3.549999999999996,512,654.0,0
491,-2.699999999999996,512,645.5,0
489,-1.899999999999996,512,637.5,0
488,-1.0999999999999956,512,629.5,0
487,-0.2999999999999956,512,621.5,0
488,0.5000000000000044,512,613.5,0
489,1.3000000000000045,512,605.5,0
491,2.1000000000000045,512,597.5,0
494,2.900000000000005,512,589.5,0
498,3.750000000000005,512,581.0,0
502,4.550000000000005,512,573.0,0
508,5.350000000000005,512,565.0,0
514,6.150000000000005,512,557.0,0
521,6.950000000000005,512,549.0,0
529,7.750000000000004,512,541.0,0
537,8.550000000000004,512,533.0,0
546,9.350000000000003,512,525.0,0
557,10.150000000000006,512,517.0,0
568,10.950000000000006,512,509.0,0
579,11.800000000000006,512,500.5,0
592,12.650000000000006,512,492.0,0
605,13.450000000000006,512,484.0,0
620,14.250000000000009,512,476.0,0
635,15.050000000000008,512,468.0,0
651,15.900000000000007,512,459.5,1
636,-14.2,512,451.5,0
623,-13.4,512,443.5,0
610,-12.599999999999998,512,435.5,0
599,-11.799999999999995,512,427.5,0
588,-10.999999999999996,512,419.5,0
577,-10.199999999999996,512,411.5,0
568,-9.399999999999997,512,403.5,0
559,-8.599999999999994,512,395.5,0
552,-7.799999999999994,512,387.5,0
545,-6.999999999999995,512,379.5,0
538,-6.149999999999995,512,371.0,0
533,-5.299999999999995,512,362.5,0
529,-4.499999999999996,512,354.5,0
525,-3.649999999999996,512,346.0,0
522,-2.849999999999995,512,338.0,0
520,-2.0499999999999954,512,330.0,0
519,-1.2499999999999951,512,322.0,0
518,-0.4499999999999953,512,314.0,0
519,0.3500000000000047,512,306.0,0
520,1.1500000000000048,512,298.0,0
522,1.9500000000000048,512,290.0,0
525,2.750000000000005,512,282.0,0
528,3.550000000000005,512,274.0,0
533,4.350000000000005,512,266.0,0
538,5.150000000000005,512,258.0,0
544,5.950000000000005,512,250.0,0
550,6.750000000000004,512,242.0,0
558,7.550000000000004,512,234.0,0
566,8.350000000000005,512,226.0,0
575,9.150000000000006,512,218.0,0
585,9.950000000000006,512,210.0,0
596,10.800000000000006,512,201.5,0
608,11.600000000000009,512,193.5,1
594,-14.2,512,185.5,0
580,-13.35,512,177.0,0
568,-12.55,512,169.0,0
556,-11.749999999999998,512,161.0,0
545,-10.949999999999998,512,153.0,0
535,-10.099999999999998,512,144.5,0
526,-9.299999999999995,512,136.5,0
517,-8.449999999999998,512,128.0,0
509,-7.649999999999998,512,120.0,0
503,-6.799999999999997,512,111.5,0
497,-5.9499999999999975,512,103.0,0
492,-5.149999999999998,512,95.0,0
487,-4.299999999999997,512,86.5,0
484,-3.4999999999999973,512,78.5,0
481,-2.649999999999997,512,70.0,0
479,-1.8499999999999968,512,62.0,0
478,-1.0499999999999972,512,54.0,0
478,-0.199999999999997,512,45.5,0
479,0.600000000000003,512,37.5,0
480,1.400000000000003,512,29.5,0
482,2.200000000000003,512,21.5,0
485,3.0000000000000027,512,13.5,0
489,3.8000000000000025,512,5.5,0
494,4.600000000000002,512,-2.5,0
499,5.400000000000002,512,-10.5,0
505,6.200000000000002,512,-18.5,0
512,7.000000000000002,512,-26.5,0
520,7.850000000000001,512,-35.0,0
529,8.650000000000002,512,-43.0,0
538,9.450000000000005,512,-51.0,0
548,10.300000000000002,512,-59.5,0
560,11.100000000000003,512,-67.5,0
571,11.900000000000004,512,-75.5,0
584,12.750000000000004,512,-84.0,0
598,13.600000000000003,512,-92.5,0
612,14.400000000000004,768,501.5,0
627,15.250000000000004,768,493.0,0
644,16.100000000000005,768,484.5,0
661,16.950000000000006,768,476.0,0
678,17.800000000000008,768,467.5,0
697,18.65000000000001,768,459.0,0
716,19.50000000000001,768,450.5,0
736,20.0,768,442.0,0
756,20.0,768,434.0,0
776,20.0,768,426.0,0
796,20.0,768,418.0,0
816,20.0,768,410.0,0
836,20.0,768,402.0,0
856,20.0,768,394.0,0
876,20.0,768,385.5,1
862,-14.2,768,377.5,0
849,-13.35,768,369.0,0
836,-12.55,768,361.0,0
825,-11.749999999999998,768,353.0,0
814,-10.949999999999998,768,345.0,0
804,-10.099999999999998,768,336.5,0
794,-9.299999999999995,768,328.5,0
786,-8.499999999999996,768,320.5,0
778,-7.699999999999997,768,312.5,0
771,-6.849999999999996,768,304.0,0
765,-5.9999999999999964,768,295.5,0
760,-5.199999999999997,768,287.5,0
756,-4.399999999999997,768,279.5,0
752,-3.5499999999999967,768,271.0,0
749,-2.6999999999999966,768,262.5,0
748,-1.8499999999999963,768,254.0,0
746,-1.0499999999999965,768,246.0,0
746,-0.2499999999999964,768,238.0,0
747,0.5500000000000036,768,230.0,0
748,1.3500000000000036,768,222.0,0
750,2.150000000000004,768,214.0,0
753,2.950000000000004,768,206.0,0
757,3.800000000000004,768,197.5,0
762,4.600000000000004,768,189.5,0
767,5.400000000000004,768,181.5,0
773,6.200000000000004,768,173.5,0
780,7.000000000000004,768,165.5,0
788,7.850000000000003,768,157.0,0
797,8.650000000000004,768,149.0,0
806,9.450000000000005,768,141.0,0
816,10.250000000000004,768,133.0,0
827,11.050000000000006,768,125.0,0
839,11.850000000000009,768,117.0,1
825,-14.15,768,108.5,0
812,-13.3,768,100.0,0
799,-12.5,768,92.0,0
788,-11.65,768,83.5,0
777,-10.8,768,75.0,0
767,-9.95,768,66.5,0
758,-9.1,768,58.0,0
750,-8.250000000000002,768,49.5,0
742,-7.450000000000002,768,41.5,0
736,-6.600000000000001,768,33.0,0
730,-5.800000000000002,768,25.0,0
725,-5.000000000000002,768,17.0,0
721,-4.200000000000002,768,9.0,0
717,-3.400000000000002,768,1.0,0
715,-2.6000000000000023,768,-7.0,0
713,-1.7500000000000022,768,-15.5,0
712,-0.9500000000000022,768,-23.5,0
712,-0.1500000000000021,768,-31.5,0
712,0.6499999999999979,768,-39.5,0
714,1.449999999999998,768,-47.5,0
716,2.299999999999998,768,-56.0,0
719,3.099999999999998,768,-64.0,0
723,3.8999999999999977,768,-72.0,0
728,4.749999999999998,768,-80.5,0
733,5.599999999999998,768,-89.0,0
740,6.399999999999998,768,-97.0,0
747,7.1999999999999975,512,498.5,0
755,7.999999999999997,512,490.5,1
741,-14.15,512,482.0,0
728,-13.3,512,473.5,0
715,-12.45,512,465.0,0
704,-11.65,512,457.0,0
693,-10.85,512,449.0,0
683,-10.0,512,440.5,0
674,-9.15,512,432.0,0
665,-8.35,512,424.0,0
658,-7.5,512,415.5,0
651,-6.65,512,407.0,0
645,-5.8500000000000005,512,399.0,0
640,-5.050000000000001,512,391.0,0
636,-4.250000000000001,512,383.0,0
632,-3.450000000000001,512,375.0,0
630,-2.600000000000001,512,366.5,1
616,-14.2,512,358.5,0
602,-13.4,512,350.5,0
590,-12.599999999999998,512,342.5,0
578,-11.799999999999995,512,334.5,0
567,-10.999999999999996,512,326.5,0
557,-10.149999999999997,512,318.0,0
547,-9.349999999999996,512,310.0,0
539,-8.499999999999996,512,301.5,0
531,-7.649999999999997,512,293.0,0
524,-6.849999999999997,512,285.0,0
518,-6.049999999999997,512,277.0,0
513,-5.249999999999997,512,269.0,0
509,-4.4499999999999975,512,261.0,0
505,-3.599999999999997,512,252.5,0
502,-2.7499999999999973,512,244.0,0
500,-1.8999999999999968,512,235.5,0
499,-1.0999999999999972,512,227.5,0
499,-0.2999999999999971,512,219.5,0
499,0.5000000000000029,512,211.5,0
501,1.300000000000003,512,203.5,0
503,2.100000000000003,512,195.5,0
506,2.900000000000003,512,187.5,0
509,3.700000000000003,512,179.5,0
514,4.500000000000003,512,171.5,0
519,5.3000000000000025,512,163.5,0
525,6.100000000000002,512,155.5,0
532,6.950000000000003,512,147.0,0
540,7.800000000000002,512,138.5,0
549,8.600000000000003,512,130.5,0
558,9.400000000000004,512,122.5,0
568,10.200000000000005,512,114.5,1
554,-14.2,512,106.5,0
541,-13.4,512,98.5,0
528,-12.599999999999998,512,90.5,0
516,-11.799999999999995,512,82.5,0
505,-10.999999999999996,512,74.5,0
495,-10.199999999999996,512,66.5,0
486,-9.349999999999996,512,58.0,0
477,-8.549999999999995,512,50.0,0
469,-7.749999999999996,512,42.0,0
462,-6.949999999999996,512,34.0,0
456,-6.099999999999996,512,25.5,0
451,-5.299999999999996,512,17.5,0
447,-4.4999999999999964,512,9.5,0
443,-3.6999999999999966,512,1.5,0
440,-2.899999999999997,512,-6.5,0
438,-2.099999999999997,512,-14.5,0
437,-1.299999999999997,512,-22.5,0
436,-0.4999999999999969,512,-30.5,0
436,0.3500000000000032,512,-39.0,0
438,1.1500000000000032,512,-47.0,0
440,2.000000000000004,512,-55.5,0
442,2.800000000000004,512,-63.5,0
